City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,Kumo,NG,2021-08-07 22:18:10,10.0447,11.2122,73.49,87,93,15.41
130,Caravelas,BR,2021-08-07 22:18:10,-17.7125,-39.2481,68.13,82,100,9.33
131,Saint George,US,2021-08-07 22:18:11,37.1041,-113.5841,102.63,10,1,1.99
132,Luzon,PH,2021-08-07 22:18:11,6.519,126.0941,80.62,78,100,7.92
133,Santa Luzia,BR,2021-08-07 22:18:11,-19.7697,-43.8514,64.74,59,0,11.5
134,La Ronge,CA,2021-08-07 22:18:12,55.1001,-105.2842,75.45,33,40,5.75
135,Bredasdorp,ZA,2021-08-07 22:18:12,-34.5322,20.0403,51.12,93,99,6.91
136,Severo-Kurilsk,RU,2021-08-07 22:18:12,50.6789,156.125,55.24,72,81,8.3
137,Punta Gorda,US,2021-08-07 22:18:13,26.9298,-82.0454,92.07,63,20,5.01
138,Nabire,ID,2021-08-07 22:18:13,-3.3667,135.4833,75.47,90,69,2.75
139,Ketchikan,US,2021-08-07 22:18:13,55.3422,-131.6461,64.87,68,40,13.8
140,Jardim,BR,2021-08-07 22:17:23,-21.4803,-56.1381,77.9,29,0,3.74
141,Nishihara,JP,2021-08-07 22:18:14,26.1842,127.7558,80.26,97,90,24.16
142,Qandala,SO,2021-08-07 22:18:14,11.472,49.8728,87.75,55,7,2.15
143,Cayhagan,PH,2021-08-07 22:18:14,9.6697,122.4256,79.99,84,70,3.24
144,Espinosa,BR,2021-08-07 22:18:15,-14.9261,-42.8192,70.02,34,87,9.91
145,Tiksi,RU,2021-08-07 22:18:15,71.6872,128.8694,48.38,75,39,4.5
146,Codrington,AU,2021-08-07 22:18:16,-38.2667,141.9667,42.78,89,7,6.46
147,Isangel,VU,2021-08-07 22:18:16,-19.55,169.2667,75.31,64,75,10.36
148,Sambava,MG,2021-08-07 22:18:16,-14.2667,50.1667,68.83,88,69,9.46
149,Oranjestad,AW,2021-08-07 22:18:17,12.524,-70.027,85.95,66,20,19.57
150,Tabory,RU,2021-08-07 22:18:17,58.5198,64.5495,55.29,99,100,8.41
151,Broome,US,2021-08-07 22:18:17,42.2506,-75.833,84.09,79,75,1.01
152,Pevek,RU,2021-08-07 22:18:18,69.7008,170.3133,42.13,73,30,6.31
153,Chumikan,RU,2021-08-07 22:18:18,54.7183,135.315,52.2,86,96,14.92
154,Umm Lajj,SA,2021-08-07 22:17:17,25.0213,37.2685,89.78,56,5,5.08
155,Mangrol,IN,2021-08-07 22:18:18,21.1167,70.1167,81.18,80,74,11.41
156,Acapulco,MX,2021-08-07 22:14:24,16.8634,-99.8901,85.82,74,75,10.36
157,Sitka,US,2021-08-07 22:18:19,57.0531,-135.33,62.49,82,90,10.36
158,Waipawa,NZ,2021-08-07 22:18:19,-41.4122,175.5153,47.03,76,100,11.92
159,Vestmannaeyjar,IS,2021-08-07 22:18:19,63.4427,-20.2734,54.93,91,100,7.31
160,Firovo,RU,2021-08-07 22:18:20,57.4814,33.7021,62.74,96,100,3.98
161,Narsaq,GL,2021-08-07 22:18:20,60.9167,-46.05,48.42,95,100,7.92
162,Saint-Philippe,RE,2021-08-07 22:18:20,-21.3585,55.7679,69.35,80,39,12.37
163,Qaanaaq,GL,2021-08-07 22:18:21,77.484,-69.3632,41.61,76,98,1.57
164,Takab,IR,2021-08-07 22:18:21,36.4009,47.1133,71.08,44,89,4.41
165,Swakopmund,NA,2021-08-07 22:18:21,-22.6833,14.5333,53.98,93,4,1.01
166,Erzin,TR,2021-08-07 22:18:22,36.9559,36.2,79.52,83,3,3.44
167,Salamiyah,SY,2021-08-07 22:18:22,35.0113,37.0532,76.71,80,0,11.68
168,Harper,LR,2021-08-07 22:18:22,4.375,-7.7169,76.75,80,86,10.02
169,Erenhot,CN,2021-08-07 22:18:23,43.6475,111.9767,76.71,33,100,17.54
170,Mastic Beach,US,2021-08-07 22:18:23,40.7668,-72.8521,82.44,76,1,1.01
171,Port Shepstone,ZA,2021-08-07 22:18:23,-30.7414,30.455,60.46,84,1,8.28
172,Ilulissat,GL,2021-08-07 22:18:24,69.2167,-51.1,46.42,57,20,3.44
173,Muros,ES,2021-08-07 22:18:24,42.7762,-9.0603,63.23,90,1,5.17
174,Carnarvon,AU,2021-08-07 22:18:24,-24.8667,113.6333,64.47,90,90,6.91
175,Prokopyevsk,RU,2021-08-07 22:18:25,53.9059,86.719,56.25,88,27,2.86
176,Romny,UA,2021-08-07 22:18:25,50.751,33.4747,62.98,69,98,10.69
177,Mianyang,CN,2021-08-07 22:18:25,31.4593,104.7542,73.74,90,100,6.11
178,Castro,BR,2021-08-07 22:18:26,-24.7911,-50.0119,56.21,77,58,4.61
179,Jiamusi,CN,2021-08-07 22:18:26,46.8333,130.35,61.03,95,100,9.93
180,Saldanha,ZA,2021-08-07 22:18:26,-33.0117,17.9442,46.45,74,100,6.76
181,Omboue,GA,2021-08-07 22:18:27,-1.5746,9.2618,74.43,84,100,8.43
182,Guerrero Negro,MX,2021-08-07 22:18:27,27.9769,-114.0611,81.16,56,49,13.58
183,Tuy Hoa,VN,2021-08-07 22:18:27,13.0833,109.3,82.67,70,100,8.32
184,Vila Franca Do Campo,PT,2021-08-07 22:18:28,37.7167,-25.4333,70.21,76,11,6.73
185,Svetlogorsk,BY,2021-08-07 22:18:28,52.6333,29.7333,55.38,95,1,5.64
186,Emirdag,TR,2021-08-07 22:18:28,39.0197,31.15,62.13,83,4,6.17
187,Bonthe,SL,2021-08-07 22:18:29,7.5264,-12.505,76.98,78,63,7.05
188,Port Alfred,ZA,2021-08-07 22:18:29,-33.5906,26.891,59.04,84,71,12.68
189,Sabha,LY,2021-08-07 22:18:29,27.0377,14.4283,90.81,9,0,0.87
190,Ayodhya,IN,2021-08-07 22:18:30,26.8,82.2,81.52,86,100,3.36
191,Roald,NO,2021-08-07 22:18:30,62.5833,6.1333,68.05,77,20,4.61
192,Hualmay,PE,2021-08-07 22:18:30,-11.0964,-77.6139,65.7,74,20,14.25
193,Dunkwa,GH,2021-08-07 22:18:31,5.9656,-1.78,72.1,96,77,3.8
194,Garoua Boulai,CM,2021-08-07 22:18:31,5.8833,14.55,61.97,97,82,3.8
195,Filingue,NE,2021-08-07 22:18:31,14.3521,3.3168,92.43,44,10,16.93
196,Chokurdakh,RU,2021-08-07 22:18:32,70.6333,147.9167,58.6,45,36,7.11
197,Meulaboh,ID,2021-08-07 22:18:32,4.1363,96.1285,75.99,87,96,4.92
198,Ekhabi,RU,2021-08-07 22:18:33,53.5102,142.9671,56.77,70,98,10.92
199,Asau,RO,2021-08-07 22:18:33,46.4333,26.4,60.96,89,1,2.73
200,Altagracia De Orituco,VE,2021-08-07 22:18:33,9.8601,-66.3814,76.75,88,73,2.37
201,Ixtapa,MX,2021-08-07 22:18:34,20.7,-105.2,87.03,70,75,13.8
202,Bouna,CI,2021-08-07 22:18:34,9.2667,-3.0,73.42,78,71,4.83
203,Itaituba,BR,2021-08-07 22:15:33,-4.2761,-55.9836,88.74,33,28,0.11
204,Leningradskiy,RU,2021-08-07 22:18:34,69.3833,178.4167,38.55,76,87,13.89
205,Curumani,CO,2021-08-07 22:18:35,9.1999,-73.5427,84.9,78,99,0.2
206,Cerritos,US,2021-08-07 22:18:35,33.8583,-118.0648,100.94,63,1,8.01
207,Coquimbo,CL,2021-08-07 22:18:01,-29.9533,-71.3436,56.93,67,75,11.5
208,Guayaramerin,BO,2021-08-07 22:18:36,-10.8368,-65.3614,86.31,33,5,0.34
209,Coihaique,CL,2021-08-07 22:18:36,-45.5752,-72.0662,42.75,61,75,3.44
210,Salalah,OM,2021-08-07 22:18:36,17.0151,54.0924,77.09,94,90,5.75
211,Longyearbyen,SJ,2021-08-07 22:18:37,78.2186,15.6401,43.36,97,98,7.27
212,Cam Ranh,VN,2021-08-07 22:18:37,11.9214,109.1591,82.36,78,20,1.14
213,Nuevo Progreso,MX,2021-08-07 22:18:37,23.1667,-97.95,96.6,48,26,10.0
214,Boca Do Acre,BR,2021-08-07 22:18:38,-8.7522,-67.3978,89.31,33,9,1.48
215,Kantang,TH,2021-08-07 22:18:38,7.4054,99.5156,78.06,88,54,3.44
216,Kruisfontein,ZA,2021-08-07 22:18:38,-34.0033,24.7314,55.4,53,100,4.74
217,Morgan City,US,2021-08-07 22:18:39,29.6994,-91.2068,95.04,70,1,8.05
218,Cheremkhovo,RU,2021-08-07 22:18:39,53.1561,103.0675,51.51,87,52,7.47
219,Malinyi,TZ,2021-08-07 22:18:39,-8.9333,36.1333,65.86,62,2,2.39
220,Carutapera,BR,2021-08-07 22:18:40,-1.195,-46.02,76.06,88,67,4.88
221,Sisimiut,GL,2021-08-07 22:18:40,66.9395,-53.6735,41.11,95,100,5.55
222,Pochutla,MX,2021-08-07 22:18:40,15.7432,-96.4661,85.05,72,100,5.68
223,Kulunda,RU,2021-08-07 22:18:41,52.566,78.9385,63.95,52,7,6.31
224,Martapura,ID,2021-08-07 22:18:41,-3.4167,114.85,77.09,100,90,2.3
225,Ormond Beach,US,2021-08-07 22:18:41,29.2858,-81.0559,86.14,71,75,4.61
226,Katsuura,JP,2021-08-07 22:18:42,35.1333,140.3,78.91,97,100,26.89
227,Okoneshnikovo,RU,2021-08-07 22:18:42,54.8377,75.0834,61.66,93,100,5.41
228,Pampa,US,2021-08-07 22:18:42,35.5362,-100.9599,99.57,33,1,14.97
229,Buala,SB,2021-08-07 22:18:43,-8.145,159.5921,79.75,78,100,2.39
230,Eenhana,NA,2021-08-07 22:18:43,-17.4667,16.3333,62.35,21,0,6.71
231,San Isidro,PE,2021-08-07 22:18:43,-12.1167,-77.05,62.19,86,90,1.99
232,Khuzhir,RU,2021-08-07 22:18:44,53.1939,107.3397,55.08,85,10,5.88
233,General Roca,AR,2021-08-07 22:18:44,-39.0333,-67.5833,54.0,25,98,8.72
234,Zhigansk,RU,2021-08-07 22:18:44,66.7697,123.3711,66.16,39,94,20.71
235,East London,ZA,2021-08-07 22:18:45,-33.0153,27.9116,59.5,79,54,11.3
236,Srednekolymsk,RU,2021-08-07 22:18:45,67.45,153.6833,53.04,56,3,3.96
237,Kungurtug,RU,2021-08-07 22:18:45,50.5994,97.5228,48.13,97,99,1.23
238,Komsomolskiy,UZ,2021-08-07 22:18:17,40.4272,71.7189,79.52,36,82,2.3
239,Grand Island,US,2021-08-07 22:17:40,40.925,-98.342,89.2,65,90,3.0
240,Mount Gambier,AU,2021-08-07 22:18:46,-37.8333,140.7667,42.35,84,54,4.79
241,San Quintin,MX,2021-08-07 22:18:46,30.4833,-115.95,73.6,66,5,10.67
242,Colares,PT,2021-08-07 22:18:46,38.7992,-9.4469,66.43,71,1,16.17
243,Van,TR,2021-08-07 22:18:47,38.4924,43.3831,67.35,52,40,8.05
244,Yaan,NG,2021-08-07 22:18:47,7.3833,8.5667,71.1,97,74,4.16
245,Puerto Escondido,MX,2021-08-07 22:18:47,15.85,-97.0667,86.83,66,90,10.36
246,Ust-Maya,RU,2021-08-07 22:18:48,60.4167,134.5333,58.01,49,2,8.7
247,Shingu,JP,2021-08-07 22:18:48,33.7333,135.9833,81.91,77,19,7.7
248,Monster,NL,2021-08-07 22:18:48,52.0258,4.175,60.98,93,75,5.99
249,Sao Filipe,CV,2021-08-07 22:18:49,14.8961,-24.4956,78.84,83,58,6.02
250,Nemuro,JP,2021-08-07 22:18:49,43.3236,145.575,66.78,98,64,13.42
251,San Rafael,AR,2021-08-07 22:18:49,-34.6177,-68.3301,56.14,36,1,12.28
252,Karatau,KZ,2021-08-07 22:18:50,43.1667,70.4667,79.9,26,31,4.68
253,Luau,AO,2021-08-07 22:18:50,-10.7073,22.2247,64.72,18,8,5.14
254,Haines Junction,CA,2021-08-07 22:18:50,60.7522,-137.5108,67.95,64,71,2.3
255,Lander,US,2021-08-07 22:18:51,42.833,-108.7307,84.11,24,1,7.67
256,Baykit,RU,2021-08-07 22:18:51,61.67,96.37,56.25,63,98,2.64
257,Balykshi,KZ,2021-08-07 22:18:51,47.0667,51.8667,75.2,33,0,4.47
258,Mabaruma,GY,2021-08-07 22:18:52,8.2,-59.7833,78.21,86,96,3.58
259,Port Lincoln,AU,2021-08-07 22:18:52,-34.7333,135.8667,50.56,77,0,10.0
260,Mehamn,NO,2021-08-07 22:18:52,71.0357,27.8492,62.51,64,79,9.42
261,Bengkulu,ID,2021-08-07 22:18:52,-3.8004,102.2655,75.69,90,10,3.78
262,Campina Verde,BR,2021-08-07 22:18:53,-19.5356,-49.4864,71.92,36,12,6.24
263,Imeni Poliny Osipenko,RU,2021-08-07 22:18:53,52.4201,136.4853,49.35,93,100,10.6
264,Manzhouli,CN,2021-08-07 22:18:53,49.6,117.4333,63.14,78,61,2.06
265,Inta,RU,2021-08-07 22:18:54,66.0317,60.1659,52.27,95,100,7.47
266,Sawang Daen Din,TH,2021-08-07 22:18:54,17.4753,103.4575,78.28,84,100,5.61
267,Saint-Pierre,RE,2021-08-07 22:18:54,-21.3393,55.4781,69.44,66,75,8.05
268,Kaabong,UG,2021-08-07 22:18:55,3.4836,34.1492,67.1,53,52,6.69
269,Sarkand,KZ,2021-08-07 22:18:55,45.41,79.9186,65.28,34,0,6.98
270,Necochea,AR,2021-08-07 22:18:55,-38.5473,-58.7368,48.04,72,40,10.56
271,Sibolga,ID,2021-08-07 22:18:56,1.7427,98.7792,76.33,89,98,3.04
272,Awjilah,LY,2021-08-07 22:18:56,29.1081,21.2869,87.8,34,0,14.94
273,Pacific Grove,US,2021-08-07 22:18:56,36.6177,-121.9166,93.02,77,20,7.0
274,Clyde River,CA,2021-08-07 22:18:57,70.4692,-68.5914,39.43,100,90,9.22
275,Hay River,CA,2021-08-07 22:15:11,60.8156,-115.7999,57.18,100,90,11.5
276,Rio Grande,BR,2021-08-07 22:18:57,-32.035,-52.0986,60.94,82,0,10.83
277,Iqaluit,CA,2021-08-07 22:18:58,63.7506,-68.5145,49.73,66,75,16.11
278,Kirovo-Chepetsk,RU,2021-08-07 22:18:58,58.5539,50.0399,52.47,77,66,3.38
279,Puerto Baquerizo Moreno,EC,2021-08-07 22:18:58,-0.9,-89.6,70.02,75,88,14.41
280,Kashi,CN,2021-08-07 22:18:59,39.4547,75.9797,78.01,27,75,8.95
